utterance,recognition,correction
delete block 3,delete block 3,delete block 3
get a move block,get a move block,get a move block
connect block 5 inside block 1,text block 5 inside block 1,connect block 5 inside block 1
connect block 5 inside block 1,connect block 5 inside block 1,connect block 5 inside block 1
get a turn block,pattern block,get a turn block
get a turn block,get a turn block,get a turn block
change right in block 6 to left,change right in block 2,change white in block 8 to blue
change right in block 2 to left,change right and block 2 to left,change right in block 2 to left
change right in block 6 to left,write in block 6 to left,change right in block 6 to left
change right in block 6 to left,change right in block 6 to left,change right in block 6 to left
connect block 6 under block 5,k'nex block 6 under block 5,connect block 6 under block 5
connect block 6 under block 5,connect block 6 under block 5,connect block 6 under block 5
run the program,the program,run the program
run the program,run the program,run the program
stay on this level,stay on this level,go to the next level
get a move block,get a move block,get a move block
get a move block,get a move block,get a move block
get a move block,get a move block,get a move block
get a move block,get a move block,get a move block
get a move block,get a move block,get a move block
get a turn block,today a turn block,get a turn block
get a turn block,get a turn clock,get a turn block
get a turn block,get a turn block ,get a turn block
get a turn block,get a turn block,get a turn block
get a turn block,can you turn block,get a turn block
get a repeat block,get a repeat block,get a repeat block
get a repeat block,get a repeat block,get a repeat block
get a repeat block,get a repeat block,get a repeat block
get a repeat block,get a repeat block,get a repeat block
get a repeat block,getting repeat blocks,get a repeat block
connect block 1 under block 2,connect block line under black 2,connect block 9 under block 2
connect block 2 under block 3,connect block 2 under block 3,connect block 2 under block 3
connect block 3 under block 4,connect block 3 under black 4,connect block 3 under block 4
connect block 4 under block 5,connect blocks 4 under block 5,connect block 4 under block 5
connect block 5 under block 6,connect block 5-under block sex,connect block 5 under block 6
delete block 1,delete block 1,delete block 1
delete block 2,free block tube,delete block 2
delete block 3,delete walkthrough,delete block 3
delete block 4,delete block force,delete block 4
delete block 5,delete block 5,delete block 5
run the program,run the program,run the program
run the program,unity on the program,run the program
run the program,run the program,run the program
run the program,run the program,run the program
run the program,run the program,run the program
change 2 in block 1 to 3,change to in block 1 2 3,change 2 in block 1 to 3
change 3 in block 1 to 4,change 3 in block 1 to 4,change 3 in block 1 to 4
change 4 in block 1 to 5,change 4 + block 1 to 2,change 4 in block 1 to 2
change 5 in block 1 to 360,change 5 in block 1 to 360,change 5 in block 1 to 3
change 360 in block 1 to 2,change 360 in block 1 to 2,change 3 in block 1 to 2
connect block 1 under block 2,connect block 100 block 2,connect block 1 under block 2
connect block 2 under block 3,text block 2 under block 3,connect block 2 under block 3
connect block 3 under block 4,nextflix free under block 4,connect block 3 under block 4
connect block 4 under block 5,connect block 4 under block v,connect block 4 under block 3
connect block 5 under block 6,kinect block 500 black 6,connect block 5 under block 6
connect block 1 inside block 2,connect block 1 inside block 2,connect block 1 inside block 2
connect block 1 inside block 2,connect clock 1 inside block 2,connect block 1 inside block 2
connect block 1 inside block 2,connect block 1 inside black tooth,connect block 1 inside block 2
connect block 1 inside block 2,connect block 1 inside clock to,connect block 1 inside block 2
connect block 1 inside block 2,connect clock 1 inside block 2,connect block 1 inside block 2
change right in block 3 to left,change right in block 3 to left,change right in block 3 to left
change right in block 3 to left,change right in block 3 to left,change right in block 3 to left
change right in block 3 to left,change rate in block 3 to left,change right in block 3 to left
change right in block 3 to left,change right in block 3 to left,change right in block 3 to left
change right in block 3 to left,change right in block 3 to left,change right in block 3 to left
change 90 in block 3 to 1,change 90 in block 3 2 1 ,change down in block 3 to up
change 1 in block 3 to 45,change 1 in block 3 245,change 90 in block 3 to 45
change 45 in block 3 to 72,change 45 in block 3 to say 2,change 45 in block 3 to 90
change 72 in block 3 to 90,change 72 in block 3 290,change 72 in block 3 to 90
change 90 in block 3 to 144,change 90 in block 3 to 1:44,change 90 in block 3 to 144
get a move block,get a move block,get a move block
get a move block,get a move block,get a move block
get a move block,get a move block,get a move block
get a move block,get a move on,get a move block
get a move block,get a move block,get a move block
get a turn block,ghetto torn block,get a turn block
get a turn block,garrett on block,get a turn block
get a turn block,tattoo pattern block,get a turn block
get a turn block,get a turn block,get a turn block
get a turn block,jetta turn block,get a turn block
get a repeat block,get a repeat block,get a repeat block
get a repeat block,get a repeat block,get a repeat block
get a repeat block,ng repeat block,get a repeat block
get a repeat block,get a repeat block,get a repeat block
get a repeat block,get a repeat block,get a repeat block
connect block 1 under block 2,connect block 1 under block 2,connect block 1 under block 2
connect block 3 under block 4,connect block 3 under block 4,connect block 3 under block 4
connect block 5 under block 6,connect block 500 block sex,connect block 5 under block 6
connect block 7 under block 8,connect block 700 lot 8,connect block 7 under block 8
connect block 9 under block 10,connect block 9 under block 10,connect block 9 under block 10
change 4 in block 6 to 5,change 4 in block 6 to 5,change 4 in block 6 to 5
change right in block 5 to left,change write in block 5 to laugh,change right in block 5 to left
change 90 in block 5 to 45,95 to 45,change 90 in block 5 to 45
change 45 in block 5 to 90,change 45 pin block 5 to 90,change 45 in block 5 to 90
change 90 in block 5 to 45,change 90 in block 5 245,change 90 in block 5 to 45
change 45 in block 5 to 90,change 45 in block 5 to 90,change 45 in block 5 to 90
connect block 4 inside block 6,connect block 4 inside block sex,connect block 4 inside block 6
connect block 5 inside block 7,connect block fire inside block 7,connect block 5 inside block 7
delete block 5,delete block price,delete block 3
delete block 10,delete glock 10,delete block 10
delete block 2,delete block 2,delete block 2
run the program,run the program,run the program
get a move block,got to move block,get a move block
run the program,run the program,run the program
stay on this level,stay on this level,go to the next level
run the program,run the program,run the program
go to next level,go to next level,go to the next level
go to the next level,go to the next level,go to the next level
get a color block,got a color block,get a color block
get a color block,get a color block,get a color block
get a pen block,panda,get a turn block
get a pen block,get up and block,get a pen block
get a pen block,death of ken block,get a pen block
change red in block 1 to blue,change red to blue and block 1,connect block 2 under block 1
change red in block 1 to green,change red and block 1/2 green,change red in block 1 to green
change up in block 2 to down,change up in block 2 $2,change up in block 2 to down
change down in block 2 to up,change down in block tutuapp,change down in block 2 to up
get a move block,get a move block,get a move block
get a move block,get a move block,get a move block
get a move block,get a move block,get a move block
get a turn block,turn,get a turn block
get a turn block,get a turn block,get a turn block
get a turn block,get a turn block,get a turn block
get a pen block,ken block,get a turn block
get a pen block,get a pen block,get a pen block
get a pen block,get a pen block,get a pen block
get a color block,get a color block,get a color block
get a color block,get a color block,get a color block
get a color block,get a color block,get a color block
connect block 2 under block 1,block 2 under block 1,connect block 2 under block 1
connect block 2 under block 1,connect block 2 under block 1,connect block 2 under block 1
connect block 2 under block 1,connect block 2 under block 1,connect block 2 under block 1
connect block 2 inside block 1,connect to inside block 1,connect block 2 inside block 1
connect block 2 inside block 1,connect block 2 inside block 1,connect block 2 inside block 1
connect block 2 inside block 1,connect block 2 inside block 1,connect block 2 inside block 1
change right in block 1 to left,change right in block 1 2,change 5 in block 1 to 2
change right in block 1 to left,change right in block 1 to left,change right in block 1 to left
change right in block 1 to left,change write in block 1 to laugh,change right in block 1 to left
change 90 in block 1 to 144,change 90 in block 1 to 144,change 90 in block 1 to 144
change 90 in block 1 to 144,turns 90 in block 1 to 144,change 90 in block 1 to 144
change 90 in block 1 to 144,is 90 + 1 to 144,change 90 in block 1 to 144
change 4 in block 1 to 5,4 + 1 to 5,change 4 in block 1 to 5
change 4 in block 1 to 5,24125,change 4 in block 10 to 5
change 4 in block 1 to 5,change 4 + 1 to 5,change 4 in block 1 to 5
delete block 1,delete part 1,delete block 1
delete block 2,delete part 2,delete block 2
delete block 3,delete pop3,delete block 3
delete block 4,delete block 4,delete block 4
delete block 5,delete block 5,delete block 5
get a move block,get a move block,get a move block
delete block 1,delete farquad,delete block 1
run the program,run the program,run the program
go to the next level,go to the next level,go to the next level
get a move block,remove flag,get a move block
get a move block,get a move block,get a move block
run the program,run the program,run the program
get a turn block,turn by turn,get a turn block
get a turn block,jetta turn the heart,get a turn block
get a turn block,get a turn block,get a turn block
run the program,run the program,run the program
get a move block,get a move block,get a move block
run the program,run the program,run the program
go to the next level,go to the next level,go to the next level
get a move block,get a move block,get a move block
get a turn block,gotta turn the hawk,get a turn block
get a turn block,data turn blog,get a turn block
get a turn block,get a turnpike,get a turn block
get a turn block,data turn block,get a turn block
get a turn block,get a turn block,get a turn block
get a move block,get a move block,get a move block
get a turn block,get a turn block,get a turn block
delete block 1,delete la crosse,delete block 2
delete block 1,delete pokemon,delete block 10
delete block 1,miquelon,get a turn block
delete block 1,delete block swan,delete block 1
delete block 1,delete block 1,delete block 1
delete block 2,delete part 2,delete block 2
delete block 2,delete block 2,delete block 2
delete block 5,delete block 5,delete block 5
get a repeat block,get a repeat block,get a repeat block
run the program,run the program,run the program
connect block 4 under block 3,9400 block street,change 4 in block 8 to 2
connect block 4 under block 3,neck block 4 under block 3,connect block 4 under block 3
connect block 4 under block 3,connectbot 4 under block 3,connect block 4 under block 3
connect block 4 under block 3,neck block1 9400 bucks street,connect block 9 under block 3
connect block 4 under block 3,connect block 4 under block 3,connect block 4 under block 3
connect block 3 inside block 6,block 3 inside block 6,connect block 3 inside block 6
connect block 3 inside of block 6,connect block 3 inside of block 6,connect block 3 inside block 6
run the program,run the program,run the program
stay on this level,stay on this level,go to the next level
get a move block,get a move block,get a move block
get a move block,didn't move block,get a move block
get a move block,get a move on,get a move block
get a turn block,crossword,delete block 2
get a turn block,get a turn block,get a turn block
get a turn block,did it turn block,get a turn block
get a pen block,get up and block,get a pen block
get a pen block,get up and block,get a pen block
get a pen block,the app and block,get a pen block
get a color block,little car wash,get a turn block
get a color block,did a color block,get a color block
get a color block,hidden color block,get a color block
connect block 2 under block 1,connect block 2 under block 1,connect block 2 under block 1
connect block 2 under block 1,connect block 2 under block 1,connect block 2 under block 1
connect block 2 under block 1,connect block 2 on your block 1,connect block 2 under block 1
connect block 2 inside of block 1,track flight to inside of rock 1,connect block 2 inside block 1
connect block 2 inside of block 1,connectbot to inside of block 1,connect block 2 inside block 1
connect block 2 inside of block 1,the next block 2 under block 1,connect block 2 under block 1
change right in block 1 to left,change right and block 1 color,change right in block 1 to left
change right in block 1 to left,change right and block 1 to left,change right in block 1 to left
change right in block 1 to left,change white and block ones i left,change right in block 1 to left
change 90 in block 1 to 144,90 + 1 to 144,change 90 in block 1 to 144
change 90 in block 1 to 144,change 90 in block 1 to 144,change 90 in block 1 to 144
change 90 in block 1 to 144,change 90 and block 1 to 1:44,change 90 in block 1 to 144
change 4 in block 1 to 5,change 4 in block 1 to 5,change 4 in block 1 to 5
change 4 in block 1 to 5,4 + block on tv,delete block 2
change 4 in block 1 to 5,24 + block 125,change 4 in block 10 to 5
delete block 1,delete block 1,delete block 1
delete block 2,delete block 2,delete block 2
delete block 3,delete blackberry,delete block 4
delete block 4,delete block 4,delete block 4
delete block 5,delete park five,delete block 5
get a move block,get a move block,get a move block
get a move block,get a move block,get a move block
get a move block,get a move block,get a move block
get a turn block,get a turn block,get a turn block
get a turn block,get a turn block,get a turn block
get a turn block,get a turn block,get a turn block
get a pen block,get a pin block,get a pen block
get a pen block,get a pin block,get a pen block
get a pen block,get a pin block,get a pen block
get a color block,get a color block,get a color block
get a color block,get a color block,get a color block
get a color block,get a color block,get a color block
connect block 2 under block 1,connectbot two under block 1,connect block 2 under block 1
connect block 2 under block 1,connect block 2 under block 1,connect block 2 under block 1
connect block 2 under block 1,connect block 2 under block 1,connect block 2 under block 1
connect block 2 inside of block 1,connect block 2 inside of block 1,connect block 2 inside block 1
connect block 2 inside of block 1,connect block 2 inside of block 1,connect block 2 inside block 1
connect block 2 inside of block 1,connect block 2 inside of block 1,connect block 2 inside block 1
change right in block 1 to left,change right in block 1 to left,change right in block 1 to left
change right in block 1 to left,change right in block 1 to left,change right in block 1 to left
change right in block 1 to left,change write in block 1 to left,change right in block 1 to left
change 90 in block 1 to 144,change 90 + 1 to 144,change 90 in block 1 to 144
change 90 in block 1 to 144,change 90 in 1 to 1:44,change 90 in block 1 to 144
change 90 in block 1 to 144,change 90 + 1 to 144,change 90 in block 1 to 144
change 4 in block 1 to 5,change 4 in block 1 to 5,change 4 in block 1 to 5
change 4 in block 1 to 5,change 4 + 1 to 5,change 4 in block 1 to 5
change 4 in block 1 to 5,change 4 in block 1 to 5,change 4 in block 1 to 5
delete block 1,delete block 1,delete block 1
delete block 2,delete block 2,delete block 2
delete block 3,delete block 3,delete block 3
delete block 4,delete block 4,delete block 4
delete block 5,delete block 5,delete block 5
